language,structure,n,operation,count,mean_ns,median_ns,std_ns,ci95_half_width_ns
cpp,array,1000,delete,10,2408.5,2417.0,17.658803281460873,10.94503966796527
cpp,array,1000,insert,10,87.3,83.0,45.706916568745065,28.329440391382402
cpp,array,1000,search,10,2816.6,2792.0,44.90285811244833,27.83107979699434
cpp,array,1000,traverse,10,54.1,42.0,19.94687388484165,12.363200520541238
cpp,array,5000,delete,10,53412.2,52583.0,2653.637369515452,1644.7414816741125
cpp,array,5000,insert,10,2253.9,1874.5,701.9946897551608,435.10081649403713
cpp,array,5000,search,10,59054.2,58062.5,2231.051212122015,1382.819867729866
cpp,array,5000,traverse,10,216.7,208.0,32.90744596592084,20.39624632132099
cpp,array,10000,delete,10,188208.2,189708.0,3818.8494718814054,2366.9474250053704
cpp,array,10000,insert,10,2633.3,2583.0,149.35271451611897,92.5697715095664
cpp,array,10000,search,10,252121,254583.5,5465.638399227588,3387.637776853429
cpp,array,10000,traverse,10,408.5,417.0,26.52985739376172,16.443375971294135
cpp,array,25000,delete,10,1077471,1071625.5,14908.611292359416,9240.453013056593
cpp,array,25000,insert,10,6908.4,6562.5,1086.6423514662035,673.5079071963446
cpp,array,25000,search,10,1430195.5,1425270.5,8789.541566227697,5447.814303848634
cpp,array,25000,traverse,10,945.6,958.0,20.200110010701536,12.520157897477882
cpp,hash,1000,delete,10,208.3,208.0,39.245806570044316,24.324802924861146
cpp,hash,1000,insert,10,15250,15146.0,195.4106786573685,121.1167934406015
cpp,hash,1000,search,10,16.7,0.0,21.561539833694624,13.363980844044935
cpp,hash,1000,traverse,10,954.4,958.5,23.57116882973774,14.60956180041003
cpp,hash,5000,delete,10,987.6,979.5,39.33107338140333,24.377651842073167
cpp,hash,5000,insert,10,61758.3,60083.5,3617.6160366861614,2242.221649672386
cpp,hash,5000,search,10,154.3,166.5,28.300176677893727,17.540631231515015
cpp,hash,5000,traverse,10,7016.6,6979.5,227.64797385437015,141.09767601204493
cpp,hash,10000,delete,10,2096.1,2042.0,143.1552770013503,88.7285599417309
cpp,hash,10000,insert,10,125120.9,125083.5,4269.749496945537,2646.4181559463855
cpp,hash,10000,search,10,374.8,333.0,83.11143790785424,51.51300290649385
cpp,hash,10000,traverse,10,13741.5,13687.5,630.0157405441021,390.4878015679021
cpp,hash,25000,delete,10,4908.5,4895.5,38.572442667445024,23.907447654095854
cpp,hash,25000,insert,10,280316.6,277937.5,7522.04830555555,4662.213841811682
cpp,hash,25000,search,10,716.7,708.0,26.461922328760117,16.40126938176839
cpp,hash,25000,traverse,10,29433.3,29500.0,391.08681900570366,242.39812174189797
cpp,linked,1000,delete,10,5916.7,6084.0,285.4229026082759,176.90694784923892
cpp,linked,1000,insert,10,12191.5,12166.5,65.85379428872889,40.816604573247986
cpp,linked,1000,search,10,8383.3,8729.0,1035.6281024898208,641.8889480982413
cpp,linked,1000,traverse,10,900,895.5,29.082258814916315,18.025370762098376
cpp,linked,5000,delete,10,177774.9,179250.0,9107.496209777477,5644.8846336325105
cpp,linked,5000,insert,10,43583.4,42625.0,3076.6073017024596,1906.9009616997826
cpp,linked,5000,search,10,262141.6,262625.5,18106.65937775995,11222.62375231144
